Actual Labels,Predicted Labels,Decision Values
0,1,0.5306014541014542
6,0,0.45923088023088027
2,1,0.5584040044922398
2,0,0.27789385614385614
0,0,0.019527472527472528
6,1,0.7805875790875793
38,0,0.3171587538278715
12,0,0.40178629703629704
47,1,0.541207153957154
716,0,0.20365448513474824
337,0,0.43201692021428856
4,1,0.5845817654567653
166,1,0.5726233123601545
3,1,0.6919662004662005
1,1,0.7323163184854363
2,1,0.7851219058719058
2917,0,0.22565101565101564
1,1,0.6475953025732438
2,1,0.7186804445554443
0,0,0.26582467532467535
0,1,0.640867762955998
185,0,0.14332961482961482
122,0,0.3724340088016559
1,1,0.6012590603840604
4,1,0.6847078656637481
56,1,0.6259326725905672
0,0,0.11636291486291485
18,0,0.4670438866688865
176,0,0.32930404725992957
72,1,0.5997822455322457
0,1,0.5439201076701077
160,0,0.14331271416062435
12,1,0.6256170496170494
0,0,0.019956349206349203
1,0,0.2536555193172839
11,1,0.6938600761983116
1,0,0.49205301642801635
398,0,0.46080415899030464
400,0,0.1941286254595078
21,0,0.3504279865731105
126,0,0.19912298812298818
48,0,0.23632713528301763
67,0,0.4617968045026868
60,0,0.378681727629096
16,1,0.7286103439044616
0,0,0.021137445887445885
2,1,0.6276131221719458
370,0,0.44363944461970783
0,1,0.5668906926406928
2434,0,0.14352268564768564
23,1,0.6368376272849957
1548,0,0.2265254329004329
151,0,0.4375004717504718
1,1,0.5959368180838767
3298,0,0.17487524975024976
1,1,0.6989711677211676
1160,0,0.16805833055833055
239,1,0.5529871999345682
33,0,0.26688732346085287
53,0,0.4042681133366117
0,0,0.3645030145293303
2,1,0.6674898891957713
4,1,0.713078282828283
0,0,0.2134647950089127
160,0,0.42574561549561546
191,0,0.4374786504345328
0,0,0.2684416025151319
0,1,0.6764898687483825
27,0,0.3828938006438007
67,1,0.5489080086580086
0,0,0.10866539832716303
4,1,0.6774583472083472
1261,0,0.1440901459651459
865,0,0.20500323360849676
242,0,0.33832097712640175
85,0,0.4314545315795316
86,1,0.7868072621822622
7,1,0.7530573038073036
0,1,0.5179228132978134
34,0,0.25514313627548924
2019,0,0.2001068376068376
914,0,0.35561388611388617
5,1,0.7708954281013104
293,0,0.4118508158508159
2,0,0.2541155978524399
14,1,0.5437268009768012
0,0,0.09586122211122211
121,0,0.45393645243645253
23,1,0.6994209817959818
696,0,0.2929715978465978
6,1,0.7001118522000875
385,0,0.3418470189940777
0,0,0.14358502608502607
2,1,0.5564744144744145
35,0,0.4250525487584311
56,0,0.4926834276834276
87,1,0.5283716422466422
2,1,0.6828077298518477
15,1,0.7232400654900656
91,0,0.3737437333907922
2,1,0.7704717904644373
78,0,0.2784415584415584
39,1,0.6105773042746727
37,1,0.5592059607059607
5,0,0.32702347652347646
10174,0,0.1613660922410922
0,1,0.7185871518402478
10,1,0.7633083583083582
31,1,0.7351459096459096
148,0,0.49755921855921864
30,1,0.7184208846708847
436,0,0.35670790320790324
1,0,0.394248223998224
295,1,0.5802328805824228
6,1,0.5947447136197137
0,0,0.3998103758986112
